HOMD.org Taxon Data::Site/Status Filter Applied Date: 2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMT_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Status,Body_site,Warning,Type_strain,16S_rRNA,Clone_count,Clone_%,Clone_rank,Synonyms,NCBI_taxon_id,NCBI_pubmed_count,NCBI_nucleotide_count,NCBI_protein_count,Genome_ID,General_info,Cultivability,Phenotypic_characteristics,Prevalence,Disease,References
001,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,schoenbuchensis,Named,Unassigned,0,,NR_025410,,,,Phylum: Proteobacteria | Strain TFI A28SC,165694,9,93,5894,SEQF9873.1 | SEQF9874.1 | SEQF2664.1,,,,,,
002,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,sp._HMT_002,Phylotype,Unassigned,0,,DQ493433,,,,Oral Clone AW149 | Phylum: Proteobacteria,712237,0,2,0,,,,,,,
003,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,glacialis,Named,Unassigned,0,ATCC 14820,AF385529,,,,Oral Clone AV069 | Phylum: Proteobacteria,658225,0,2,0,SEQF3079.1 | SEQF5627.1 | SEQF5628.1,,,,,,
004,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,sp._HMT_004,Phylotype,Unassigned,0,,AF385533,,,,Oral Clone AW030 | Phylum: Proteobacteria,712605,0,1,0,,,,,,,
005,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,lwoffii,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,28090,0,0,0,SEQF2884.1 | SEQF9058.1 | SEQF9059.1 | SEQF9060.1 | SEQF9061.1 | SEQF9062.1 | SEQF9063.1 | SEQF9064.1 | SEQF9065.1 | SEQF9066.1 | SEQF9067.1 | SEQF9068.1 | SEQF9069.1 | SEQF9070.1 | SEQF9071.1 | SEQF9072.1 | SEQF9073.1 | SEQF9074.1 | SEQF9075.1 | SEQF9076.1 | SEQF9077.1 | SEQF9078.1 | SEQF9079.1 | SEQF9080.1 | SEQF9081.1 | SEQF9082.1 | SEQF9083.1 | SEQF9084.1 | SEQF9085.1,,,,,,
006,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,humi,Phylotype,Unassigned,0,,AY349411,,,,Oral Clone FI012 | Phylum: Proteobacteria,2282397,0,1,0,,,,,,,
007,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,tepidarius,Named,Unassigned,0,DSM 10594,AJ223452,,,,Oral Clone BF019 | Phylum: Proteobacteria,60454,0,2,0,SEQF3080.1,,,,,,
008,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Mogibacterium,vescum,Named,Unassigned,0,,AB021702,,,,Phylum: Firmicutes,86333,1,13,0,,,,,,,
010,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,radioresistens,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,40216,0,0,0,SEQF2864.1 | SEQF9917.1 | SEQF9918.1 | SEQF9919.1 | SEQF9920.1 | SEQF9921.1 | SEQF9922.1 | SEQF9923.1 | SEQF9924.1 | SEQF9925.1 | SEQF9926.1 | SEQF9927.1 | SEQF9928.1 | SEQF9929.1 | SEQF9930.1 | SEQF9931.1 | SEQF9932.1 | SEQF9933.1 | SEQF9934.1 | SEQF9935.1 | SEQF9936.1 | SEQF9937.1 | SEQF9938.1 | SEQF9939.1 | SEQF9940.1 | SEQF9941.1 | SEQF9942.1 | SEQF9943.1 | SEQF9944.1 | SEQF9945.1 | SEQF9946.1 | SEQF9947.1 | SEQF9948.1 | SEQF9949.1 | SEQF9950.1 | SEQF9951.1 | SEQF9952.1 | SEQF9953.1 | SEQF9954.1 | SEQF9955.1 | SEQF9956.1 | SEQF9957.1,,,,,,
011,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,sp._HMT_011,Lost,Oral,0,,L06165,,,,Oral Strain UB-204 | Phylum: Proteobacteria,712272,0,1,0,,,,,,,
012,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,sp._HMT_012,Phylotype,Oral,0,,AF366267,,,,Oral Clone DE012 | Phylum: Proteobacteria,712319,0,10,0,,,,,,,
013,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,bacilliformis,Named,Oral,0,,AY005029,,,,Oral Clone AK105 | Phylum: Proteobacteria,267212,4,158,5922,SEQF1969.1 | SEQF4491.1 | SEQF4492.1 | SEQF4493.1,,,,,,
014,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,oralis,Named,Oral,0,6332 | DSM 25276 | LMG 26725,AY005023 | AY005025 | GQ131417 | JN104029,,,,Neisseria sp. F0314 | Neisseria sp. oral taxon 014 | Oral Clone AP015 | Oral Clone AP085 | Phylum: Proteobacteria,1107316,2,17,1,SEQF1659.1 | SEQF4326.1,Neisseria sp. Oral taxon 014 strain F0314 has been isolated from a human subject by the Moore's Laboratory in June 1982. The subject was a 23 year old American white female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference GQ131417. The strain is available at www.bei.org under the reference HM-91. This strain is part of the reference strains for the oral section of the Human Microbiome Project.  The species has been named <EM>Neisseria oralis</EM>.  The genome is available as ADEA00000000.  The genome link above may be disrupted until name at NCBI officially gets changed.,,,,,
017,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,octavius,Named,Unassigned,0,,,,,,Phylum: Firmicutes,54007,0,0,0,SEQF3146.1 | SEQF3147.1,,,,,,
018,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp._HMT_018,Phylotype,Oral,0,,AY005027,,,,Oral Clone AP132 | Phylum: Proteobacteria,712400,0,5,0,,,,,,,
019,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens,Named,Nasal,0,,,,,,Phylum: Actinobacteria,38284,0,0,0,SEQF2935.1 | SEQF2937.1 | SEQF2940.1 | SEQF2953.1 | SEQF2954.1 | SEQF2986.1 | SEQF2988.1 | SEQF3026.1 | SEQF3027.1 | SEQF9958.1 | SEQF9959.1 | SEQF9960.1 | SEQF9961.1 | SEQF9962.1 | SEQF9963.1,,,,,,
020,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp._HMT_020,Unnamed,Oral,0,,AY005028,,,,Phylum: Proteobacteria | Strain TFI B33KA,712401,0,472,5752,SEQF1944.2,,,,,,
021,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,vestibularis,Named,Oral,0,,AY188353,,,,Phylum: Firmicutes,1343,20,491,7053,SEQF1705.1 | SEQF2004.1 | SEQF4478.1 | SEQF4479.1 | SEQF4480.1 | SEQF4481.1 | SEQF4482.1 | SEQF4483.1 | SEQF4484.1 | SEQF4485.1 | SEQF4486.1 | SEQF4487.1 | SEQF4488.1 | SEQF4489.1 | SEQF4490.1,,,,,,
022,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,mirabilis,Named,Oral,0,,AY005030 | X73223,,,,Phylum: Proteobacteria,47671,7,191,5330,SEQF1967.1 | SEQF7735.1,,,,,,
023,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,acidovorans,Named,Unassigned,0,,AB020186,,,,Comamonas acidivorans | Comamonas acidovorans | Phylum: Proteobacteria | Pseudomonas acidovorans | Pseudomonas desmolytica | Pseudomonas indoloxidans,80866,121,694,44640,SEQF1413.1 | SEQF2536.1 | SEQF2537.1 | SEQF2709.1 | SEQF5855.1 | SEQF5856.1 | SEQF5857.1 | SEQF5858.1 | SEQF5859.1 | SEQF5860.1 | SEQF5861.2 | SEQF5862.1 | SEQF5863.1 | SEQF5864.2 | SEQF5865.1 | SEQF5866.1 | SEQF5867.1 | SEQF5868.1 | SEQF5869.1 | SEQF5870.2,,,,,,
024,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,thermodepolymerans,Named,Unassigned,0,DSM 15264,AF125876,,,,dehydroabietic acid-degrading bacterium DhA-71 | Phylum: Proteobacteria,215580,0,0,0,SEQF3155.1 | SEQF3156.1 | SEQF3160.1 | SEQF4982.1,,,,,,
025,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,sp._HMT_025,Phylotype,Unassigned,0,,AF385528,,,,Oral Clone AV011a | Phylum: Proteobacteria,712353,0,11,0,,,,,,,
026,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,aquatica,Named,Unassigned,0,LMG 23380,AF385538,,,,Oral Clone CA004 | Phylum: Proteobacteria,376175,0,9,0,,,,,,,
027,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,gilardii,Named,Unassigned,0,,AY005039,,,,Phylum: Proteobacteria | Strain TFI C37KA,82541,0,0,0,SEQF2854.1 | SEQF8717.1 | SEQF8718.1 | SEQF8719.1 | SEQF8720.1 | SEQF8721.1 | SEQF8722.1 | SEQF8723.1 | SEQF8724.1 | SEQF8725.1,,,,,,
028,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Oryzomicrobium,terrae,Unnamed,Unassigned,0,,AY005031,,,,Phylum: Proteobacteria | Strain TFI A08KA,1735038,0,14,0,SEQF9565.1,,,,,,
029,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,vincentii,Named,Oral,0,,AF033309,,,,Phylum: Spirochaetes,69710,59,207,9551,SEQF1610.1 | SEQF1947.1 | SEQF3740.1 | SEQF3741.1,,,,,,
030,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,afermentans,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,38286,0,0,0,SEQF2886.1 | SEQF3734.1 | SEQF3735.1 | SEQF3736.1 | SEQF3737.1,,,,,,
031,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,amycolatum,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,43765,0,0,0,SEQF2910.1 | SEQF2942.1 | SEQF2949.1 | SEQF2951.1 | SEQF2956.1 | SEQF2964.1 | SEQF2967.1 | SEQF2975.1 | SEQF2979.1 | SEQF2992.1 | SEQF2995.1 | SEQF2996.1 | SEQF3006.1 | SEQF3012.1 | SEQF3013.1 | SEQF3014.1 | SEQF3015.1 | SEQF3017.1 | SEQF3020.1 | SEQF3024.1 | SEQF3028.1 | SEQF3031.1 | SEQF3033.1 | SEQF3034.1 | SEQF3037.1 | SEQF6098.1 | SEQF6099.1 | SEQF6100.1 | SEQF6101.1 | SEQF6102.1 | SEQF6103.1 | SEQF6104.1 | SEQF6105.1 | SEQF6106.1 | SEQF6107.1 | SEQF6108.1 | SEQF6109.1 | SEQF6110.1 | SEQF6111.1 | SEQF6112.1 | SEQF6113.1 | SEQF6114.1 | SEQF6115.1 | SEQF6116.1 | SEQF6117.1 | SEQF6118.1,,,,,,
032,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp._HMT_032,Phylotype,Unassigned,0,,AF385547,,,,Oral Clone AZ002 | Phylum: Proteobacteria,712508,0,8,0,,,,,,,
033,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,appendicis,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,163202,0,0,0,SEQF2915.1,,,,,,
034,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,aurimucosum,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,169292,0,0,0,SEQF2936.1 | SEQF2938.1 | SEQF2939.1 | SEQF2944.1 | SEQF2948.1 | SEQF2950.1 | SEQF2971.1 | SEQF2981.1 | SEQF2989.1 | SEQF2991.1 | SEQF3001.1 | SEQF3009.1 | SEQF3010.1 | SEQF3019.1 | SEQF3032.1 | SEQF3042.1 | SEQF3043.1 | SEQF3045.1 | SEQF3046.1 | SEQF3048.1 | SEQF4860.1 | SEQF4861.1 | SEQF4862.1 | SEQF4863.1 | SEQF4864.1 | SEQF4865.1 | SEQF4866.1 | SEQF4867.1 | SEQF4868.1 | SEQF4869.1 | SEQF4870.1 | SEQF4871.1 | SEQF4872.1 | SEQF4873.1 | SEQF4874.1 | SEQF4875.1 | SEQF4876.1 | SEQF4877.1 | SEQF4878.1 | SEQF4879.1 | SEQF4880.1 | SEQF4881.1 | SEQF4882.1 | SEQF4883.1 | SEQF4884.1 | SEQF4885.1,,,,,,
035,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,paraphrohaemolyticus,Named,Oral,0,NCTC 10670,AY005034,,,,Oral Clone BJ021 | Phylum: Proteobacteria,736,0,11,0,SEQF2918.1 | SEQF4724.1 | SEQF4725.1 | SEQF4726.1,,,,,,
036,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,sp._HMT_036,Unnamed,Oral,0,,AY005033,,,,Clone BJ095 | Phylum: Proteobacteria | Strain P7A_FAAD5 | Strain W6487,712310,0,110,0,SEQF2869.1 | SEQF3061.1,,,,,,
037,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,nitritireducens,Named,Unassigned,0,ATCC BAA-12,AF385546,,,,Oral Clone AY088 | Phylum: Proteobacteria,83617,0,82,0,SEQF2803.1 | SEQF9812.1,,,,,,
038,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,uli,Named,Oral,0,,AF292373,,,,Atopobium uli | Lactobacillus uli | Phylum: Actinobacteria,133926,19,43,7180,SEQF9007.1 | SEQF1031.1 | SEQF2631.1,,,,,,
039,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,sp._HMT_039,Phylotype,Unassigned,0,,AF385539,,,,Oral Clone CA006 | Phylum: Proteobacteria,712185,0,1,0,,,,,,,
040,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,sp._HMT_040,Phylotype,Unassigned,0,,AY005035,,,,Oral Clone BB161 | Phylum: Proteobacteria,712259,0,3,0,,,,,,,
041,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,sp._HMT_041,Phylotype,Oral,0,,AY005037,,,,Oral Clone R004 | Phylum: Proteobacteria,712258,0,875,0,SEQF2485.1 | SEQF2486.1 | SEQF7377.1 | SEQF7378.1,,,,,,
042,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Mogibacterium,timidum,Named,Oral,0,,U13042,,,,Eubacterium timidum | Phylum: Firmicutes,35519,9,133,1657,SEQF2630.1 | SEQF3171.1,,,,,,
044,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,sp._HMT_044,Phylotype,Oral,0,,AY005038,,,,Oral Clone BB120 | Phylum: Proteobacteria,712200,0,6,0,,,,,,,
045,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,clausii,Named,Unassigned,0,,AB043853 | AJ297498,,,,Phylum: Firmicutes,79880,69,12897,17592,SEQF1170.1 | SEQF5998.1 | SEQF5999.2 | SEQF6000.1 | SEQF6001.1 | SEQF6002.1 | SEQF6003.1 | SEQF6004.1 | SEQF6005.1 | SEQF6006.1 | SEQF6007.1 | SEQF6008.1 | SEQF6009.1 | SEQF6010.1 | SEQF6011.1 | SEQF6012.1 | SEQF6013.1 | SEQF6014.1 | SEQF6015.1 | SEQF6016.1 | SEQF6017.1 | SEQF6018.1 | SEQF6019.1 | SEQF6020.1 | SEQF6021.1 | SEQF6022.1 | SEQF6023.1 | SEQF6024.1 | SEQF6025.1 | SEQF6026.1 | SEQF6027.1 | SEQF6028.1 | SEQF6029.1 | SEQF6030.1 | SEQF6031.1 | SEQF6032.1 | SEQF6033.1 | SEQF6034.1,,,,,,
046,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,morbillorum,Named,Oral,0,ATCC 27824,L14327 | Y13366,,,,Diplococcus morbillorum | Peptostreptococcus morbillorum | Phylum: Firmicutes | Streptococcus morbillorum,29391,151,661,3184,SEQF2298.1 | SEQF8149.1 | SEQF8150.1 | SEQF8151.1,This species was formerly known as Streptococcus morbillorum but was moved to Gemella on the basis of phylogenetic analysis based on 16S rRNA sequence comparisons.,Facultative anaerobe producing small (<0.5 mm diameter) colonies after two days aerobic growth on Blood Agar plates. It is reported that anaerobic incubation may be required for growth on initial isolation but that strains become aerotolerant on subsequent subcultures.,Gram positive cocci found in pairs or short chains. Weakly fermentative and generally unreactive in commonly used biochemical and physiological tests and thus difficult to definitively identify by phenotypic means; molecular identification is recommended [1].,Found in dental plaque on the tongue and has been isolated from periodontal pockets in periodontitis and exudate from pericoronitis associated with erupting third molars,Although found as part of the normal microbiota of the mouth and gastrointestinal orogenital tracts Gemella morbillorum is capable of causing a wide range of infections. Most of these can be attributed to spread via the bloodstream and thus infective endocarditis is the commonest. Other infections include meningitis brain liver and lung abscess osteomyelitis and septic thrombophlebitis.,
047,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,jeikeium,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,38289,0,0,0,SEQF2978.1 | SEQF3023.1 | SEQF5497.1 | SEQF5498.1 | SEQF5499.1 | SEQF5500.1 | SEQF5501.1 | SEQF5502.1 | SEQF5503.1 | SEQF5504.1 | SEQF5505.1 | SEQF5506.1 | SEQF5507.1 | SEQF5508.1 | SEQF5509.1 | SEQF5510.1 | SEQF5511.1 | SEQF5512.1 | SEQF5513.1 | SEQF5514.1 | SEQF5515.1 | SEQF5516.1,,,,,,
048,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,typhae,Phylotype,Unassigned,0,,AF385540,,,,Oral Clone CA007 | Phylum: Firmicutes,1174501,0,9,0,SEQF6333.1 | SEQF6334.1,,,,,,
049,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kroppenstedtii,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,161879,0,0,0,SEQF2862.1 | SEQF9566.1 | SEQF9567.1 | SEQF9568.1 | SEQF9569.1 | SEQF9570.1 | SEQF9571.1 | SEQF9572.1,,,,,,
050,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,macginleyi,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,38290,0,0,0,SEQF9709.1 | SEQF9710.2 | SEQF9711.2 | SEQF9712.2 | SEQF9713.1 | SEQF9714.1 | SEQF9715.1 | SEQF9716.1 | SEQF9717.1 | SEQF9718.1 | SEQF9719.1 | SEQF9720.1 | SEQF9721.1 | SEQF9722.1 | SEQF9723.1 | SEQF9724.2 | SEQF9725.1 | SEQF9726.1 | SEQF9727.1 | SEQF9728.1 | SEQF9729.1 | SEQF9730.1 | SEQF9731.1 | SEQF3149.1 | SEQF3161.1 | SEQF3162.1,,,,,,
