tax_id	taxonomy	type	name	kingdom
2.0	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria
2157.0	root|cellular_organisms|Archaea	superkingdom	Archaea	Archaea
2759.0	root|cellular_organisms|Eukaryota	superkingdom	Eukaryota	Eukaryota
10239.0	root|Viruses	superkingdom	Viruses	Viruses
4751.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi	kingdom	Fungi	Fungi
451864.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya	subkingdom	Dikarya	Fungi
1224.0	root|cellular_organisms|Bacteria|Proteobacteria	phylum	Proteobacteria	Bacteria
976.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes	phylum	Bacteroidetes	Bacteria
1297.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Deinococcus-Thermus	phylum	Deinococcus-Thermus	Bacteria
1117.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Cyanobacteria/Melainabacteria_group|Cyanobacteria	phylum	Cyanobacteria	Bacteria
1239.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes	phylum	Firmicutes	Bacteria
201174.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria	phylum	Actinobacteria	Bacteria
544448.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Tenericutes	phylum	Tenericutes	Bacteria
28890.0	root|cellular_organisms|Archaea|Euryarchaeota	phylum	Euryarchaeota	Archaea
28889.0	root|cellular_organisms|Archaea|TACK_group|Crenarchaeota	phylum	Crenarchaeota	Archaea
200918.0	root|cellular_organisms|Bacteria|Thermotogae	phylum	Thermotogae	Bacteria
508458.0	root|cellular_organisms|Bacteria|Synergistetes	phylum	Synergistetes	Bacteria
2763.0	root|cellular_organisms|Eukaryota|Rhodophyta	phylum	Rhodophyta	Eukaryota
2836.0	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta	phylum	Bacillariophyta	Eukaryota
3027.0	root|cellular_organisms|Eukaryota|Cryptophyta	phylum	Cryptophyta	Eukaryota
3035.0	root|cellular_organisms|Eukaryota|Euglenozoa|Euglenoida|Spirocuta|Euglenida	phylum	Euglenida	Eukaryota
4890.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota	phylum	Ascomycota	Fungi
451459.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Blastocladiomycota	phylum	Blastocladiomycota	Fungi
4761.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Chytridiomycota	phylum	Chytridiomycota	Fungi
1913637.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota	phylum	Mucoromycota	Fungi
1913638.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota	phylum	Zoopagomycota	Fungi
5204.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota	phylum	Basidiomycota	Fungi
5794.0	root|cellular_organisms|Eukaryota|Alveolata|Apicomplexa	phylum	Apicomplexa	Eukaryota
5878.0	root|cellular_organisms|Eukaryota|Alveolata|Ciliophora	phylum	Ciliophora	Eukaryota
2497569.0	root|Viruses|Riboviria|Negarnaviricota	phylum	Negarnaviricota	Viruses
203691.0	root|cellular_organisms|Bacteria|Spirochaetes	phylum	Spirochaetes	Bacteria
32066.0	root|cellular_organisms|Bacteria|Fusobacteria	phylum	Fusobacteria	Bacteria
40117.0	root|cellular_organisms|Bacteria|Nitrospirae	phylum	Nitrospirae	Bacteria
65842.0	root|cellular_organisms|Bacteria|FCB_group|Fibrobacteres	phylum	Fibrobacteres	Bacteria
2202805.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Olpidiomycota	phylum	Olpidiomycota	Fungi
200795.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Chloroflexi	phylum	Chloroflexi	Bacteria
200783.0	root|cellular_organisms|Bacteria|Aquificae	phylum	Aquificae	Bacteria
204428.0	root|cellular_organisms|Bacteria|PVC_group|Chlamydiae	phylum	Chlamydiae	Bacteria
